###,,,,,,,
###,,,,,,,
###,,,,,,,
"# The unabsorbed luminosity of the spectral components,",,,,,,,
# for MAXI J1820+070 during MJD 58380 to 58412,,,,,,,
# See the methods section for the reduction procedure used to obtain these measurements.,,,,,,,
,,,,,,,
# The uncertainties in the luminosities are quoted at 1-sigma confidence level,,,,,,,
#,,,,,,,
# This file is used to plot Figure 2A.,,,,,,,
#,,,,,,,
,,,,,,,
# The column:,,,,,,,
#  Exposure ID of Insight-HXMT observations ,,,,,,,
# Observation time in MJD,,,,,,,
# Compton luminosity and uncertainty,,,,,,,
# disk luminosity and uncertainty,,,,,,,
# Total luminosity and uncertainty,,,,,,,
####,,,,,,,
####,,,,,,,
####,,,,,,,
exposure ID,date (MJD),Compton luminosity (erg/s),error (erg/s),disk luminosity(erg/s),error (erg/s),total luminosity(erg/s),error (erg/s)
P011466112701-20180920-01-01,58381.17325,1.93E+36,3.49E+34,4.73E+37,1.82E+35,4.93E+37,2.17E+35
P011466112801-20180921-01-01,58382.73948,3.59E+36,9.26E+34,4.55E+37,1.88E+35,4.90E+37,2.81E+35
P011466112901-20180922-01-01,58383.53537,9.56E+36,6.88E+34,4.01E+37,1.35E+35,4.96E+37,2.04E+35
P011466113001-20180924-01-01,58385.28314,1.11E+37,8.55E+34,3.37E+37,1.49E+35,4.48E+37,2.35E+35
P011466113101-20180926-01-01,58387.27095,1.44E+37,8.97E+34,2.26E+37,1.35E+35,3.70E+37,2.24E+35
P011466113201-20180927-01-01,58389.01395,1.51E+37,1.34E+35,9.92E+36,1.38E+35,2.50E+37,2.71E+35
P011466113202-20180928-02-01,58389.15735,1.56E+37,1.36E+35,8.98E+36,1.29E+35,2.45E+37,2.64E+35
P011466113203-20180928-02-01,58389.29116,1.55E+37,1.22E+35,8.70E+36,1.11E+35,2.42E+37,2.34E+35
P011466113301-20180928-01-01,58389.77552,1.61E+37,3.25E+35,6.23E+36,1.43E+35,2.23E+37,4.69E+35
P011466113302-20180928-01-01,58389.96313,1.52E+37,1.60E+35,6.08E+36,1.16E+35,2.13E+37,2.76E+35
P011466113303-20180929-02-01,58390.0835,1.50E+37,1.29E+35,6.03E+36,1.24E+35,2.10E+37,2.53E+35
P011466113401-20180929-01-01,58390.80205,1.48E+37,1.90E+35,4.95E+36,1.21E+35,1.98E+37,3.11E+35
P011466113402-20180929-01-01,58390.9525,1.43E+37,1.36E+35,4.36E+36,8.99E+34,1.86E+37,2.26E+35
P011466113403-20180930-02-01,58391.0769,1.43E+37,1.38E+35,3.98E+36,8.41E+34,1.83E+37,2.22E+35
P011466113501-20180930-01-01,58391.82015,1.38E+37,1.58E+35,2.91E+36,6.76E+34,1.67E+37,2.26E+35
P011466113502-20180930-01-01,58391.94644,1.38E+37,1.37E+35,2.95E+36,7.60E+34,1.68E+37,2.13E+35
P011466113503-20180930-01-01,58392.07047,1.37E+37,1.41E+35,2.73E+36,6.25E+34,1.64E+37,2.04E+35
P011466113601-20181002-01-01,58393.12221,1.29E+37,1.21E+35,2.78E+36,7.34E+34,1.56E+37,1.95E+35
P011466113602-20181002-01-01,58393.3309,1.34E+37,1.20E+35,2.70E+36,4.86E+34,1.61E+37,1.69E+35
P011466113701-20181003-01-01,58394.84531,1.13E+37,1.25E+35,1.84E+36,5.09E+34,1.32E+37,1.76E+35
P011466113702-20181003-01-01,58394.99481,1.13E+37,1.27E+35,1.74E+36,4.78E+34,1.30E+37,1.75E+35
P011466113703-20181004-02-01,58395.11787,1.15E+37,1.34E+35,2.03E+36,7.41E+34,1.35E+37,2.08E+35
P011466113801-20181004-01-01,58395.63968,1.09E+37,1.74E+35,1.54E+36,4.37E+34,1.24E+37,2.18E+35
P011466113802-20181004-01-01,58395.79465,1.06E+37,1.38E+35,1.63E+36,5.02E+34,1.22E+37,1.89E+35
P011466113804-20181004-01-01,58396.04417,1.02E+37,1.31E+35,1.49E+36,4.79E+34,1.17E+37,1.79E+35
P011466113901-20181006-01-01,58397.09639,8.61E+36,1.32E+35,1.14E+36,5.52E+34,9.74E+36,1.87E+35
P011466113902-20181006-01-01,58397.24832,8.60E+36,1.75E+35,1.16E+36,3.17E+34,9.75E+36,2.06E+35
P011466113903-20181006-01-01,58397.37069,8.48E+36,1.54E+35,1.15E+36,4.98E+34,9.62E+36,2.03E+35
P011466114001-20181007-01-01,58398.35724,6.92E+36,1.17E+35,7.87E+35,2.90E+34,7.70E+36,1.46E+35
P011466114002-20181007-01-01,58398.50974,6.01E+36,1.19E+35,6.39E+35,2.85E+34,6.65E+36,1.48E+35
P011466114003-20181007-01-01,58398.63233,5.77E+36,1.81E+35,6.45E+35,4.18E+34,6.41E+36,2.23E+35
P011466114101-20181008-01-01,58399.23726,5.72E+36,1.97E+35,6.65E+35,2.87E+34,6.38E+36,2.25E+35
P011466114102-20181008-01-01,58399.37021,5.88E+36,1.06E+35,7.15E+35,6.18E+34,6.59E+36,1.68E+35
P011466114103-20181008-01-01,58399.49109,5.14E+36,1.32E+35,6.98E+35,9.94E+34,5.84E+36,2.32E+35
P011466114201-20181009-01-01,58400.5485,5.06E+36,4.24E+35,0,0,5.06E+36,4.24E+35
P011466114202-20181009-01-01,58400.69807,4.79E+36,2.84E+35,0,0,4.79E+36,2.84E+35
P011466114203-20181009-01-01,58400.81233,4.68E+36,4.02E+35,0,0,4.68E+36,4.02E+35
P011466114301-20181010-01-01,58401.70087,3.65E+36,3.50E+35,0,0,3.65E+36,3.50E+35
P011466114401-20181011-01-01,58402.94872,3.20E+36,2.61E+35,0,0,3.20E+36,2.61E+35
P011466114701-20181012-01-01,58403.87584,2.62E+36,1.14E+35,0,0,2.62E+36,1.14E+35
P011466114801-20181013-01-01,58405.09736,2.65E+36,5.33E+35,0,0,2.65E+36,5.33E+35
P011466114901-20181014-01-01,58406.0253,2.12E+36,4.12E+35,0,0,2.12E+36,4.12E+35
P011466115001-20181015-01-01,58406.80277,2.17E+36,1.00E+36,0,0,2.17E+36,1.00E+36
P011466115101-20181016-01-01,58408.08112,1.52E+36,5.35E+34,0,0,1.52E+36,5.35E+34
P011466115201-20181017-01-01,58408.84101,1.76E+36,1.05E+36,0,0,1.76E+36,1.05E+36
P011466115203-20181018-02-01,58409.10896,1.58E+36,6.75E+35,0,0,1.58E+36,6.75E+35
P011466115301-20181019-01-01,58410.93801,1.28E+36,1.45E+35,0,0,1.28E+36,1.45E+35
P011466115401-20181021-01-01,58412.99007,8.40E+35,1.17E+35,0,0,8.40E+35,1.17E+35
