###,,
###,,
###,,
# The V-band luminosities provided by AAVSO,,
"# for MAXI J1820+070 during 58380 to 58440, which are rebined with a bin size of 1 day.",,
# The uncertainties in the luminosities are quoted at 1-sigma confidence level,,
# See the methods section for the reduction procedure used to obtain these measurements.,,
#,,
# This file is used to plot the gray points in Panel (C) of Figure 2,,
#,,
"# The columns are date in modified Julien date, luminosity and its error",,
"#  The luminosity and its error are in erg/s, taking the source distance D = 2.96 kpc",,
####,,
####,,
#date(MJD),luminosity(erg/s),error(erg/s)
58380.10791,1.05E+35,1.19E+32
58381.42501,1.08E+35,9.70E+31
58382.46242,1.02E+35,5.42E+31
58383.13818,9.28E+34,5.41E+32
58384.18083,1.10E+35,6.42E+31
58385.14733,9.09E+34,7.16E+31
58386.27319,1.07E+35,1.89E+32
58387.74788,7.13E+34,4.35E+31
58388.61412,7.51E+34,4.62E+31
58389.55628,6.94E+34,3.89E+31
58390.83151,4.88E+34,3.44E+31
58391.31581,6.73E+34,6.26E+31
58392.42454,6.76E+34,6.71E+31
58393.57132,5.99E+34,6.53E+31
58394.85476,5.14E+34,1.44E+32
58396.41133,5.03E+34,5.22E+31
58397.39643,6.03E+34,4.33E+31
58398.81929,7.37E+34,9.70E+31
58400.51561,8.54E+34,5.72E+31
58401.56104,8.27E+34,6.88E+31
58402.1422,9.48E+34,6.53E+31
58403.19635,8.61E+34,1.65E+32
58404.19927,1.01E+35,1.45E+32
58405.11198,9.39E+34,2.02E+32
58406.11789,8.98E+34,2.46E+32
58408.15518,8.60E+34,1.96E+32
58409.56136,7.62E+34,7.75E+31
58410.1551,8.31E+34,6.31E+32
58411.68336,6.51E+34,5.56E+31
58412.68019,6.54E+34,5.12E+31
58413.08646,7.66E+34,1.09E+32
58414.07475,7.31E+34,7.97E+31
58416.10421,6.80E+34,2.18E+32
58417.09965,6.31E+34,2.49E+32
58421.1129,5.77E+34,2.81E+32
58422.13556,5.29E+34,8.85E+31
58424.43122,4.39E+34,6.19E+31
58426.75852,3.64E+34,5.36E+31
58430.1095,4.03E+34,6.34E+31
58431.10241,3.62E+34,1.51E+32
58432.09954,3.52E+34,8.16E+31